student_id,name,email
21520123,Nguyễn Văn A,nguyenvana@student.hcmus.edu.vn
21520124,Trần Thị B,tranthib@student.hcmus.edu.vn
21520125,Phạm Minh C,phamminhc@student.hcmus.edu.vn
21520126,Hoàng Quốc D,hoangquocd@student.hcmus.edu.vn
21520127,Vũ Kim E,vukime@student.hcmus.edu.vn
21520128,Lê Anh F,leanhf@student.hcmus.edu.vn
21520129,Bùi Ngọc G,buingocg@student.hcmus.edu.vn
21520130,Đặng Hương H,danghhuong@student.hcmus.edu.vn
21520131,Cao Văn I,caovani@student.hcmus.edu.vn
21520132,Võ Thị J,vothij@student.hcmus.edu.vn
2152013,Invalid K,invalidk@student.hcmus.edu.vn
21520134,,nonamestudent@student.hcmus.edu.vn
