student_id,name,email
21521233,Hồ Thành Trang,hothanhtrang@student.hcmus.edu.vn
21521234,Dương Tuấn Hương,duongtuanhuong@student.hcmus.edu.vn
21521235,Đỗ Tuấn Hương,dotuanhuong@student.hcmus.edu.vn
21521236,Dương Thị Yến,duongthiyen@student.hcmus.edu.vn
21521237,Bùi Minh Quyên,buiminhquyen@student.hcmus.edu.vn
21521238,Phan Bảo Uyên,phanbaouyen@student.hcmus.edu.vn
21521239,Nguyễn Đức Oanh,nguyenducoanh@student.hcmus.edu.vn
21521240,Hoàng Đức Phát,hoangducphat@student.hcmus.edu.vn
21521241,Đỗ Đức Đạt,doducdat@student.hcmus.edu.vn
21521242,Ngô Xuân Uyên,ngoxuanuyen@student.hcmus.edu.vn
21521243,Phan Tuấn Trang,phantuantrang@student.hcmus.edu.vn
21521244,Lê Hữu Hoa,lehuuhoa@student.hcmus.edu.vn
21521245,Ngô Minh Nam,ngominhnam@student.hcmus.edu.vn
21521246,Lê Thành Yến,lethanhyen@student.hcmus.edu.vn
21521247,Phạm Thị Uyên,phamthiuyen@student.hcmus.edu.vn
21521248,Võ Đức Anh,voducanh@student.hcmus.edu.vn
21521249,Lê Phương Vinh,lephuongvinh@student.hcmus.edu.vn
21521250,Trần Thanh Hoa,tranthanhhoa@student.hcmus.edu.vn
21521251,Đỗ Ngọc Anh,dongocanh@student.hcmus.edu.vn
21521252,Bùi Văn Vinh,buivanvinh@student.hcmus.edu.vn
21521253,Ngô Ngọc Quyên,ngongocquyen@student.hcmus.edu.vn
21521254,Dương Thu Dũng,duongthudung@student.hcmus.edu.vn
21521255,Hoàng Bảo Yến,hoangbaoyen@student.hcmus.edu.vn
21521256,Ngô Thanh Quyên,ngothanhquyen@student.hcmus.edu.vn
21521257,Dương Đức Đạt,duongducdat@student.hcmus.edu.vn
21521258,Lý Văn Đạt,lyvandat@student.hcmus.edu.vn
21521259,Trần Xuân Đạt,tranxuandat@student.hcmus.edu.vn
21521260,Đặng Gia Mai,danggiamai@student.hcmus.edu.vn
21521261,Vũ Minh Vinh,vuminhvinh@student.hcmus.edu.vn
21521262,Hoàng Phương Yến,hoangphuongyen@student.hcmus.edu.vn
21521263,Hoàng Thị Yến,hoangthiyen@student.hcmus.edu.vn
21521264,Lý Hữu Trang,lyhuutrang@student.hcmus.edu.vn
21521265,Đặng Xuân Nam,dangxuannam@student.hcmus.edu.vn
21521266,Phạm Thành Yến,phamthanhyen@student.hcmus.edu.vn
21521267,Nguyễn Văn Quyên,nguyenvanquyen@student.hcmus.edu.vn
21521268,Đặng Gia Oanh,danggiaoanh@student.hcmus.edu.vn
21521269,Hoàng Hữu Bình,hoanghuubinh@student.hcmus.edu.vn
21521270,Lê Thu Yến,lethuyen@student.hcmus.edu.vn
21521271,Đặng Hữu Linh,danghuulinh@student.hcmus.edu.vn
21521272,Trần Gia Sơn,trangiason@student.hcmus.edu.vn
21521273,Hoàng Văn Khang,hoangvankhang@student.hcmus.edu.vn
21521274,Trần Đức Dũng,tranducdung@student.hcmus.edu.vn
21521275,Vũ Ngọc Đạt,vungocdat@student.hcmus.edu.vn
21521276,Trần Thị Khang,tranthikhang@student.hcmus.edu.vn
21521277,Lê Hữu Yến,lehuuyen@student.hcmus.edu.vn
21521278,Lê Văn Sơn,levanson@student.hcmus.edu.vn
21521279,Huỳnh Thị Châu,huynhthichau@student.hcmus.edu.vn
21521280,Huỳnh Văn Linh,huynhvanlinh@student.hcmus.edu.vn
21521281,Lê Thanh Yến,lethanhyen@student.hcmus.edu.vn
21521282,Đỗ Thành Hương,dothanhhuong@student.hcmus.edu.vn
21521283,Huỳnh Thanh Uyên,huynhthanhuyen@student.hcmus.edu.vn
21521284,Lý Quang Quyên,lyquangquyen@student.hcmus.edu.vn
21521285,Trần Minh Hương,tranminhhuong@student.hcmus.edu.vn
21521286,Đặng Minh Sơn,dangminhson@student.hcmus.edu.vn
21521287,Bùi Thành Quyên,buithanhquyen@student.hcmus.edu.vn
21521288,Lý Xuân Hương,lyxuanhuong@student.hcmus.edu.vn
21521289,Vũ Xuân Mai,vuxuanmai@student.hcmus.edu.vn
21521290,Huỳnh Thanh Vinh,huynhthanhvinh@student.hcmus.edu.vn
21521291,Nguyễn Thu Oanh,nguyenthuoanh@student.hcmus.edu.vn
21521292,Phan Thu Sơn,phanthuson@student.hcmus.edu.vn
21521293,Nguyễn Thu Vinh,nguyenthuvinh@student.hcmus.edu.vn
21521294,Đỗ Văn Hoa,dovanhoa@student.hcmus.edu.vn
21521295,Đỗ Thành Quyên,dothanhquyen@student.hcmus.edu.vn
21521296,Đặng Thị Anh,dangthianh@student.hcmus.edu.vn
21521297,Dương Thị Mai,duongthimai@student.hcmus.edu.vn
21521298,Đỗ Thị Đạt,dothidat@student.hcmus.edu.vn
21521299,Nguyễn Phương Hoa,nguyenphuonghoa@student.hcmus.edu.vn
21521300,Vũ Văn Phát,vuvanphat@student.hcmus.edu.vn
21521301,Trần Xuân Mai,tranxuanmai@student.hcmus.edu.vn
21521302,Vũ Phương Uyên,vuphuonguyen@student.hcmus.edu.vn
21521303,Đỗ Gia Yến,dogiayen@student.hcmus.edu.vn
21521304,Bùi Bảo Khang,buibaokhang@student.hcmus.edu.vn
21521305,Đỗ Văn Mai,dovanmai@student.hcmus.edu.vn
21521306,Phạm Thanh Phát,phamthanhphat@student.hcmus.edu.vn
21521307,Vũ Thanh Châu,vuthanhchau@student.hcmus.edu.vn
21521308,Huỳnh Thành Quyên,huynhthanhquyen@student.hcmus.edu.vn
21521309,Võ Thanh Vinh,vothanhvinh@student.hcmus.edu.vn
21521310,Nguyễn Phương Bình,nguyenphuongbinh@student.hcmus.edu.vn
21521311,Võ Gia Khang,vogiakhang@student.hcmus.edu.vn
21521312,Vũ Quang Hoa,vuquanghoa@student.hcmus.edu.vn
21521313,Trần Đức Vinh,tranducvinh@student.hcmus.edu.vn
21521314,Bùi Tuấn Khang,buituankhang@student.hcmus.edu.vn
